id,type,sku,name,status,featured,catalog_visibility,short_description,description,date_on_sale_from,date_on_sale_to,tax_status,tax_class,stock_status,backorders,sold_individually,weight,height,reviews_allowed,purchase_note,price,regular_price,manage_stock/stock_quantitiy,category_ids,tag_ids,shipping_class_id,attributes,attributes,default_attributes,attributes,image_id/gallery_image_ids,attributes,downloads,downloads,download_limit,download_expiry,parent_id,upsell_ids,cross_sell_ids
,Refresco,Mundet3,Mundet,1,,visible,Mundet,,,,,,1,,,,,,, $50 ,,,,,,,,,,,,,,,,,,
,Refresco,AM2,Agua mineral,1,,visible,Agua mineral,,,,,,1,,,,,,, $36 ,,,,,,,,,,,,,,,,,,
,Refresco,PEN2,Peñafiel de Naranjada,1,,visible,Peñafiel de Naranjada,,,,,,1,,,,,,, $38 ,,,,,,,,,,,,,,,,,,
,Refresco,7UP3,7 up,1,,visible,7 up,,,,,,1,,,,,,, $48 ,,,,,,,,,,,,,,,,,,
,Refresco,SQU3,squirt,1,,visible,squirt,,,,,,1,,,,,,, $48 ,,,,,,,,,,,,,,,,,,
,Refresco,CO3,Coca-cola,1,,visible,Coca-cola,,,,,,1,,,,,,, $59 ,,,,,,,,,,,,,,,,,,
,Jugo,JARA960,Jumex Arandano,1,,visible,Jumex Arandano,,,,,,1,,,,,,, $43 ,,,,,,,,,,,,,,,,,,
,Jugo,OCEAN1,Ocean spray aranadano,1,,visible,Ocean spray aranadano,,,,,,1,,,,,,, $42 ,,,,,,,,,,,,,,,,,,
,Hielo,HIELO,Bolsa de hielo,1,,visible,Bolsa de hielo,,,,,,1,,,,,,, $65 ,,,,,,,,,,,,,,,,,,
,Tequila+refresco de toronja+bolsa de hielos + 1 botana + 5 vasos,COMTE,Tequila Jose cuervo tradicional plata+refresco de toronja+bolsa de hielos + 1 botana + 5 vasos,1,,visible,,,,,,,1,,,,,,, $699 , $759 ,,,,,,,,,,,,,,,,,
,vodka+sprite y  jugo+hielos+ 5 vasos + 3 paletas ,COMVO,"vodka,sprite,  jugo,hielos, 5 vasos",1,,visible,,,,,,,1,,,,,,, $410 , $452 ,,,,,,,,,,,,,,,,,
,Bacardi+coca+mineral+ hielos + 5 vaos + botana,COMRO,"Bacardi,coca,minera, hielos,5 vaso",1,,visible,,,,,,,1,,,,,,, $699 , $743 ,,,,,,,,,,,,,,,,,
,wisky+mineral+ginger+hielos+ 5 vasos+ botano,COMWI,"wisky,mineral,hielos, 5 vasos, botano",1,,visible,,,,,,,1,,,,,,, $579 , $614 ,,,,,,,,,,,,,,,,,
,12 cervezas+ 1 clamato+ 5 vaoss+2 sueros+ 2 maruchan ,COMCRUDA,"12 cervezas,1 clamato,5 vasos, sueros,2 maruchan ",1,,visible,,,,,,,1,,,,,,, $499 , $511 ,,,,,,,,,,,,,,,,,
,Cigarros,MR,Malboro rojo,1,,visible,,,,,,,1,,,,,,, $135 ,,,,,,,,,,,,,,,,,,
,Cigarros,PALL,PALL ALASKA,1,,visible,,,,,,,1,,,,,,, $125 ,,,,,,,,,,,,,,,,,,
,Cigarros,PALLM,PALL MALL ARUBA,1,,visible,,,,,,,1,,,,,,, $120 ,,,,,,,,,,,,,,,,,,
,Cigarros,MALRUB,MALBORO RUBI,1,,visible,,,,,,,1,,,,,,, $140 ,,,,,,,,,,,,,,,,,,
,Cigarros,MALBLA,MALBORO BLANCO,1,,visible,,,,,,,1,,,,,,, $140 ,,,,,,,,,,,,,,,,,,
